Repo,underdirectory,function,status,variables
1,40,gpuSDNoTest,runs,"[('const float *', 'vectsA'), ('size_t', 'na'), ('const float *', 'vectsB'), ('size_t', 'nb'), ('size_t', 'dim'), ('const float *', 'means'), ('const float *', 'numPairs'), ('float *', 'sds')]"
1,41,gpuPMCCNoTest,runs,"[('const float *', 'vectsa'), ('size_t', 'na'), ('const float *', 'vectsb'), ('size_t', 'nb'), ('size_t', 'dim'), ('const float *', 'numPairs'), ('const float *', 'means'), ('const float *', 'sds'), ('float *', 'correlations')]"
1,42,gpuSignif,runs,"[('const float *', 'gpuNumPairs'), ('const float *', 'gpuCorrelations'), ('size_t', 'n'), ('float *', 'gpuTScores')]"
1,43,dUpdateSignif,runs,"[('const float *', 'gpuData'), ('size_t', 'n'), ('float *', 'gpuResults')]"
1,44,noNAsPmccMeans,runs,"[('int', 'nRows'), ('int', 'nCols'), ('float *', 'a'), ('float *', 'means')]"
1,45,scale,runs,"[('float', 'knot_max'), ('int', 'nx'), ('int', 'nsamples'), ('float *', 'x'), ('int', 'pitch_x')]"
1,46,get_bin_scores,runs,"[('int', 'nbins'), ('int', 'order'), ('int', 'nknots'), ('float *', 'knots'), ('int', 'nsamples'), ('int', 'nx'), ('float *', 'x'), ('int', 'pitch_x'), ('float *', 'bins'), ('int', 'pitch_bins')]"
1,47,get_entropy,runs,"[('int', 'nbins'), ('int', 'nsamples'), ('int', 'nx'), ('float *', 'bin_scores'), ('int', 'pitch_bin_scores'), ('float *', 'entropies')]"
1,48,get_mi,runs,"[('int', 'nbins'), ('int', 'nsamples'), ('int', 'nx'), ('float *', 'x_bin_scores'), ('int', 'pitch_x_bin_scores'), ('float *', 'entropies_x'), ('int', 'ny'), ('float *', 'y_bin_scores'), ('int', 'pitch_y_bin_scores'), ('float *', 'entropies_y'), ('float *', 'mis'), ('int', 'pitch_mis')]"
1000,5,kernel,runs,[]
1000,24,transposedMatrixKernel,runs,"[('int *', 'd_a'), ('int *', 'd_b')]"
1000,25,additionMatricesKernel,runs,"[('int *', 'd_a'), ('int *', 'd_b'), ('int *', 'd_c')]"
1000,26,additionMatricesKernel,runs,"[('int *', 'd_a'), ('int *', 'd_b'), ('int *', 'd_c')]"
1000,27,transposedMatrixKernel,runs,"[('int *', 'd_a'), ('int *', 'd_b')]"
1000,28,additionMatricesKernel,runs,"[('int *', 'd_a'), ('int *', 'd_b'), ('int *', 'd_c')]"
1000,29,matrixKernel,runs,"[('float *', 'd_in'), ('float *', 'd_out')]"
1000,30,transposedMatrixKernel,runs,"[('int *', 'd_a'), ('int *', 'd_b')]"
1000,43,cubeKernel,runs,"[('float *', 'd_out'), ('float *', 'd_in')]"
1000,44,cubeKernel,runs,"[('float *', 'd_out'), ('float *', 'd_in')]"
10003,2,deltaCalcOutput,runs,"[('float *', 'OutActivation'), ('float *', 'Outputdelta'), ('float *', 'targets')]"
10003,3,deltaCalcHidden,runs,"[('float *', 'Activation'), ('float *', 'delta')]"
10003,4,weightUpdate,runs,"[('float *', 'd_W'), ('float *', 'd_D'), ('float *', 'd_N')]"
10003,5,initWeights,runs,"[('float *', 'dst'), ('unsigned int', 'seed')]"
10003,8,printError,runs,"[('float *', 'output'), ('float *', 'target')]"
10008,81,softmax_gradient_kernel,runs,"[('const int', 'dim'), ('const float *', 'Y'), ('const float *', 'dY'), ('float *', 'dX')]"
10008,85,AccuracyDivideKernel,runs,"[('const int', 'N'), ('float *', 'accuracy')]"
1001,0,grayscaleVer2D,runs,"[('uchar3 *', 'input'), ('uchar3 *', 'output'), ('int', 'imageWidth'), ('int', 'imageHeight')]"
10018,1,Matriz_GPU_Mult,runs,"[('int *', 'a'), ('int *', 'b'), ('int *', 'c')]"
10024,0,cuda_cmp_kernel,runs,"[('std::size_t', 'n'), ('int *', 'aptr'), ('int *', 'bptr'), ('int *', 'rptr')]"
10030,0,paralellSine,runs,"[('float *', 'input'), ('float *', 'output')]"
10040,0,gpuMM,runs,"[('float *', 'A'), ('float *', 'B'), ('float *', 'C'), ('int', 'N')]"
10040,1,gpuSum,runs,"[('int *', 'prices'), ('int *', 'sumpricesout'), ('int', 'days'), ('int', 'seconds'), ('int', 'N')]"
10047,0,add,runs,"[('int', 'n'), ('float *', 'a'), ('float *', 'b'), ('float *', 'sum')]"
10047,1,add,runs,"[('int', 'n'), ('double *', 'a'), ('double *', 'b'), ('double *', 'sum')]"
10051,7,emptyKernel,runs,[]
1006,0,kernel_example,runs,"[('int *', 'c'), ('const int *', 'a'), ('const int *', 'b')]"
10073,223,kTile,runs,"[('const float *', 'src'), ('float *', 'tgt'), ('const uint', 'srcWidth'), ('const uint', 'srcHeight'), ('const uint', 'tgtWidth'), ('const uint', 'tgtHeight')]"
10073,224,kDotProduct_r,runs,"[('float *', 'a'), ('float *', 'b'), ('float *', 'target'), ('const uint', 'numElements')]"
10073,225,kSetupCurand,runs,"[('curandState *', 'state'), ('unsigned long long', 'seed')]"
10073,230,kLogregCost,runs,"[('float *', 'probs'), ('float *', 'labels'), ('float *', 'maxProbs'), ('float *', 'labelLogProbs'), ('float *', 'correctProbs'), ('const int', 'numCases'), ('const int', 'numOut')]"
10073,327,softmax_gradient_kernel,runs,"[('const int', 'dim'), ('const float *', 'Y'), ('const float *', 'dY'), ('float *', 'dX')]"
10073,332,AccuracyDivideKernel,runs,"[('const int', 'N'), ('float *', 'accuracy')]"
1008,0,blob_rearrange_kernel2_1d,runs,"[('const float *', 'in'), ('float *', 'out'), ('int', 'num'), ('int', 'channels'), ('int', 'width'), ('int', 'height'), ('int', 'widthheight'), ('int', 'padding'), ('int', 'pwidthheight')]"
1008,1,CorrelateData_1d,runs,"[('const int', 'nthreads'), ('int', 'num'), ('int', 'topwidth'), ('int', 'topheight'), ('int', 'topchannels'), ('int', 'topcount'), ('int', 'max_displacement'), ('int', 'x_shift'), ('int', 'neighborhood_grid_width'), ('int', 'kernel_radius'), ('int', 'kernel_size'), ('int', 'stride1'), ('int', 'stride2'), ('int', 'bottomwidth'), ('int', 'bottomheight'), ('int', 'bottomchannels'), ('const float *', 'bottom0'), ('const float *', 'bottom1'), ('float *', 'top')]"
1008,2,CorrelateDataSubtract_1d,runs,"[('const int', 'nthreads'), ('int', 'num'), ('int', 'item'), ('int', 'topwidth'), ('int', 'topheight'), ('int', 'topchannels'), ('int', 'topcount'), ('int', 'max_displacement'), ('int', 'x_shift'), ('int', 'neighborhood_grid_width'), ('int', 'kernel_radius'), ('int', 'stride1'), ('int', 'stride2'), ('int', 'bottomwidth'), ('int', 'bottomheight'), ('int', 'bottomchannels'), ('const float *', 'bottom0'), ('const float *', 'bottom1'), ('float *', 'top')]"
1008,3,CorrelateDataBackward0_1d,runs,"[('const int', 'nthreads'), ('int', 'num'), ('int', 'item'), ('int', 'topwidth'), ('int', 'topheight'), ('int', 'topchannels'), ('int', 'max_displacement'), ('int', 'x_shift'), ('int', 'neighborhood_grid_width'), ('int', 'kernel_radius'), ('int', 'stride1'), ('int', 'stride2'), ('int', 'bottomwidth'), ('int', 'bottomheight'), ('int', 'pbottomwidth'), ('int', 'pbottomheight'), ('int', 'bottomchannels'), ('int', 'bottomcount'), ('int', 'pad_size'), ('float *', 'bottom0diff'), ('const float *', 'bottom1'), ('const float *', 'topdiff')]"
1008,4,CorrelateDataBackward1_1d,runs,"[('const int', 'nthreads'), ('int', 'num'), ('int', 'item'), ('int', 'topwidth'), ('int', 'topheight'), ('int', 'topchannels'), ('int', 'max_displacement'), ('int', 'x_shift'), ('int', 'neighborhood_grid_width'), ('int', 'kernel_radius'), ('int', 'stride1'), ('int', 'stride2'), ('int', 'bottomwidth'), ('int', 'bottomheight'), ('int', 'pbottomwidth'), ('int', 'pbottomheight'), ('int', 'bottomchannels'), ('int', 'bottomcount'), ('int', 'pad_size'), ('const float *', 'bottom0'), ('float *', 'bottom1diff'), ('const float *', 'topdiff')]"
1008,5,CorrelateDataBackward0Subtract_1d,runs,"[('const int', 'nthreads'), ('int', 'num'), ('int', 'item'), ('int', 'topwidth'), ('int', 'topheight'), ('int', 'topchannels'), ('int', 'max_displacement'), ('int', 'x_shift'), ('int', 'neighborhood_grid_width'), ('int', 'kernel_radius'), ('int', 'stride1'), ('int', 'stride2'), ('int', 'bottomwidth'), ('int', 'bottomheight'), ('int', 'pbottomwidth'), ('int', 'pbottomheight'), ('int', 'bottomchannels'), ('int', 'bottomcount'), ('int', 'pad_size'), ('float *', 'bottom0diff'), ('const float *', 'bottom0'), ('const float *', 'bottom1'), ('const float *', 'topdiff')]"
1008,6,CorrelateDataBackward1Subtract_1d,runs,"[('const int', 'nthreads'), ('int', 'num'), ('int', 'item'), ('int', 'topwidth'), ('int', 'topheight'), ('int', 'topchannels'), ('int', 'max_displacement'), ('int', 'x_shift'), ('int', 'neighborhood_grid_width'), ('int', 'kernel_radius'), ('int', 'stride1'), ('int', 'stride2'), ('int', 'bottomwidth'), ('int', 'bottomheight'), ('int', 'pbottomwidth'), ('int', 'pbottomheight'), ('int', 'bottomchannels'), ('int', 'bottomcount'), ('int', 'pad_size'), ('const float *', 'bottom0'), ('const float *', 'bottom1'), ('float *', 'bottom1diff'), ('const float *', 'topdiff')]"
1008,7,blob_rearrange_kernel2,runs,"[('const float *', 'in'), ('float *', 'out'), ('int', 'num'), ('int', 'channels'), ('int', 'width'), ('int', 'height'), ('int', 'widthheight'), ('int', 'padding'), ('int', 'pwidthheight')]"
1008,8,CorrelateData,runs,"[('const int', 'nthreads'), ('int', 'num'), ('int', 'topwidth'), ('int', 'topheight'), ('int', 'topchannels'), ('int', 'topcount'), ('int', 'max_displacement'), ('int', 'neighborhood_grid_radius'), ('int', 'neighborhood_grid_width'), ('int', 'kernel_radius'), ('int', 'kernel_size'), ('int', 'stride1'), ('int', 'stride2'), ('int', 'bottomwidth'), ('int', 'bottomheight'), ('int', 'bottomchannels'), ('const float *', 'bottom0'), ('const float *', 'bottom1'), ('float *', 'top')]"
1008,16,blob_rearrange_kernel2_1d,runs,"[('const float *', 'in'), ('float *', 'out'), ('int', 'num'), ('int', 'channels'), ('int', 'width'), ('int', 'height'), ('int', 'widthheight'), ('int', 'padding'), ('int', 'pwidthheight')]"
1008,17,CorrelateData_1d,runs,"[('const int', 'nthreads'), ('int', 'num'), ('int', 'topwidth'), ('int', 'topheight'), ('int', 'topchannels'), ('int', 'topcount'), ('int', 'max_displacement'), ('int', 'x_shift'), ('int', 'neighborhood_grid_width'), ('int', 'kernel_radius'), ('int', 'kernel_size'), ('int', 'stride1'), ('int', 'stride2'), ('int', 'bottomwidth'), ('int', 'bottomheight'), ('int', 'bottomchannels'), ('const float *', 'bottom0'), ('const float *', 'bottom1'), ('float *', 'top')]"
1008,23,blob_rearrange_kernel2,runs,"[('const float *', 'in'), ('float *', 'out'), ('int', 'num'), ('int', 'channels'), ('int', 'width'), ('int', 'height'), ('int', 'widthheight'), ('int', 'padding'), ('int', 'pwidthheight')]"
1008,24,CorrelateData,runs,"[('const int', 'nthreads'), ('int', 'num'), ('int', 'topwidth'), ('int', 'topheight'), ('int', 'topchannels'), ('int', 'topcount'), ('int', 'max_displacement'), ('int', 'neighborhood_grid_radius'), ('int', 'neighborhood_grid_width'), ('int', 'kernel_radius'), ('int', 'kernel_size'), ('int', 'stride1'), ('int', 'stride2'), ('int', 'bottomwidth'), ('int', 'bottomheight'), ('int', 'bottomchannels'), ('const float *', 'bottom0'), ('const float *', 'bottom1'), ('float *', 'top')]"
10121,0,MedianFilter_gpu,runs,"[('unsigned short *', 'Device_ImageData'), ('int', 'Image_Width'), ('int', 'Image_Height')]"
10121,1,addKernel,runs,"[('int *', 'c'), ('const int *', 'a'), ('const int *', 'b')]"
10121,3,reduce,runs,"[('int *', 'g_idata'), ('int', 'searchedNumber'), ('int *', 'ok')]"
10121,5,reduce,runs,"[('int *', 'g_idata'), ('int *', 'g_odata')]"
10123,36,sync_conv_groups,runs,[]
10126,2,conv2genericrev,runs,"[('float *', 'input'), ('float *', 'kernel'), ('float *', 'output'), ('int', 'input_n'), ('int', 'input_h'), ('int', 'input_w'), ('int', 'kernel_n'), ('int', 'kernel_h'), ('int', 'kernel_w'), ('float', 'alpha'), ('int', 'stride_h'), ('int', 'stride_w')]"
10131,0,calc,runs,"[('float *', 'd_D'), ('int', 'n'), ('int', 'k')]"
10131,1,calc,runs,"[('float *', 'd_D'), ('int', 'n'), ('int', 'k')]"
10131,2,calc,runs,"[('float *', 'd_D'), ('int', 'n'), ('int', 'k')]"
10140,92,ForwardWarpKernel_PSF2x2,runs,"[('const float *', 'u'), ('const float *', 'v'), ('const float *', 'src'), ('const int', 'w'), ('const int', 'h'), ('const int', 'flow_stride'), ('const int', 'image_stride'), ('const float', 'time_scale'), ('float *', 'normalization_factor'), ('float *', 'dst')]"
10140,93,ForwardWarpKernel_PSF1x1,runs,"[('const float *', 'u'), ('const float *', 'v'), ('const float *', 'src'), ('const int', 'w'), ('const int', 'h'), ('const int', 'flow_stride'), ('const int', 'image_stride'), ('const float', 'time_scale'), ('float *', 'dst')]"
10140,94,NormalizeKernel,runs,"[('const float *', 'normalization_factor'), ('int', 'w'), ('int', 'h'), ('int', 's'), ('float *', 'image')]"
10140,95,MemsetKernel,runs,"[('const float', 'value'), ('int', 'w'), ('int', 'h'), ('float *', 'image')]"
10140,162,mergeLocation,runs,"[('const short2 *', 'loc_'), ('float *', 'x'), ('float *', 'y'), ('const int', 'npoints'), ('float', 'scale')]"
10158,0,addKernel,runs,"[('int *', 'c'), ('const int *', 'a'), ('const int *', 'b')]"
10163,1,conv2genericrev,runs,"[('float *', 'input'), ('float *', 'kernel'), ('float *', 'output'), ('int', 'input_n'), ('int', 'input_h'), ('int', 'input_w'), ('int', 'kernel_n'), ('int', 'kernel_h'), ('int', 'kernel_w'), ('float', 'alpha'), ('int', 'stride_h'), ('int', 'stride_w')]"
1018,0,sigmoid_kernel,runs,"[('float *', 'vec'), ('int', 'len')]"
1018,1,relu_kernel,runs,"[('float *', 'vec'), ('int', 'len')]"
1018,2,scale_values,runs,"[('float *', 'num'), ('size_t', 'size'), ('float', 'abs_max')]"
1018,3,sigmoid_derivative,runs,"[('float *', 'upper_grads'), ('float *', 'upper_values'), ('unsigned int', 'upper_size')]"
1018,4,relu_derivative,runs,"[('float *', 'upper_grads'), ('float *', 'upper_values'), ('unsigned int', 'upper_size')]"
1018,5,times,runs,"[('float *', 'input'), ('unsigned int', 'input_size'), ('float *', 'output'), ('unsigned int', 'n')]"
1018,6,exp_kernel,runs,"[('float *', 'array'), ('unsigned int', 'size')]"
1018,7,set_value,runs,"[('float', 'value'), ('float *', 'array'), ('unsigned int', 'size')]"
1018,8,divide_by_vector,runs,"[('float *', 'matrix'), ('float *', 'vector'), ('unsigned int', 'row'), ('unsigned int', 'col')]"
1018,9,minus_one,runs,"[('float *', 'matrix'), ('unsigned int *', 'indices'), ('unsigned int', 'row'), ('unsigned int', 'col')]"
1018,10,pick_minus_log_ps,runs,"[('float *', 'matrix'), ('float *', 'minus_log_ps'), ('unsigned int *', 'indices'), ('unsigned int', 'row'), ('unsigned int', 'col')]"
10181,166,downscale,runs,"[('float *', 'gradInput_data'), ('const float *', 'gradOutput_data'), ('long', 'no_elements'), ('int', 'scale_factor'), ('int', 'd1'), ('int', 'd2'), ('int', 'd3')]"
10181,225,kTile,runs,"[('const float *', 'src'), ('float *', 'tgt'), ('const uint', 'srcWidth'), ('const uint', 'srcHeight'), ('const uint', 'tgtWidth'), ('const uint', 'tgtHeight')]"
10181,226,kDotProduct_r,runs,"[('float *', 'a'), ('float *', 'b'), ('float *', 'target'), ('const uint', 'numElements')]"
10181,227,kSetupCurand,runs,"[('curandState *', 'state'), ('unsigned long long', 'seed')]"
10181,232,kLogregCost,runs,"[('float *', 'probs'), ('float *', 'labels'), ('float *', 'maxProbs'), ('float *', 'labelLogProbs'), ('float *', 'correctProbs'), ('const int', 'numCases'), ('const int', 'numOut')]"
10181,348,softmax_gradient_kernel,runs,"[('const int', 'dim'), ('const float *', 'Y'), ('const float *', 'dY'), ('float *', 'dX')]"
10181,353,AccuracyDivideKernel,runs,"[('const int', 'N'), ('float *', 'accuracy')]"
10186,95,ForwardWarpKernel_PSF2x2,runs,"[('const float *', 'u'), ('const float *', 'v'), ('const float *', 'src'), ('const int', 'w'), ('const int', 'h'), ('const int', 'flow_stride'), ('const int', 'image_stride'), ('const float', 'time_scale'), ('float *', 'normalization_factor'), ('float *', 'dst')]"
10186,96,ForwardWarpKernel_PSF1x1,runs,"[('const float *', 'u'), ('const float *', 'v'), ('const float *', 'src'), ('const int', 'w'), ('const int', 'h'), ('const int', 'flow_stride'), ('const int', 'image_stride'), ('const float', 'time_scale'), ('float *', 'dst')]"
10186,97,NormalizeKernel,runs,"[('const float *', 'normalization_factor'), ('int', 'w'), ('int', 'h'), ('int', 's'), ('float *', 'image')]"
10186,98,MemsetKernel,runs,"[('const float', 'value'), ('int', 'w'), ('int', 'h'), ('float *', 'image')]"
10186,169,mergeLocation,runs,"[('const short2 *', 'loc_'), ('float *', 'x'), ('float *', 'y'), ('const int', 'npoints'), ('float', 'scale')]"
10194,0,binarize_kernel,runs,"[('float *', 'x'), ('int', 'n'), ('float *', 'binary')]"
10194,1,binarize_input_kernel,runs,"[('float *', 'input'), ('int', 'n'), ('int', 'size'), ('float *', 'binary')]"
10194,2,binarize_weights_kernel,runs,"[('float *', 'weights'), ('int', 'n'), ('int', 'size'), ('float *', 'binary')]"
10194,3,forward_avgpool_layer_kernel,runs,"[('int', 'n'), ('int', 'w'), ('int', 'h'), ('int', 'c'), ('float *', 'input'), ('float *', 'output')]"
10194,4,backward_avgpool_layer_kernel,runs,"[('int', 'n'), ('int', 'w'), ('int', 'h'), ('int', 'c'), ('float *', 'in_delta'), ('float *', 'out_delta')]"
10194,5,im2col_gpu_kernel,runs,"[('const int', 'n'), ('const float *', 'data_im'), ('const int', 'height'), ('const int', 'width'), ('const int', 'ksize'), ('const int', 'pad'), ('const int', 'stride'), ('const int', 'height_col'), ('const int', 'width_col'), ('float *', 'data_col')]"
10194,6,scale_bias_kernel,runs,"[('float *', 'output'), ('float *', 'biases'), ('int', 'n'), ('int', 'size')]"
10194,7,backward_scale_kernel,runs,"[('float *', 'x_norm'), ('float *', 'delta'), ('int', 'batch'), ('int', 'n'), ('int', 'size'), ('float *', 'scale_updates')]"
10194,8,add_bias_kernel,runs,"[('float *', 'output'), ('float *', 'biases'), ('int', 'n'), ('int', 'size')]"
10194,9,backward_bias_kernel,runs,"[('float *', 'bias_updates'), ('float *', 'delta'), ('int', 'batch'), ('int', 'n'), ('int', 'size')]"
10194,10,dot_kernel,runs,"[('float *', 'output'), ('float', 'scale'), ('int', 'batch'), ('int', 'n'), ('int', 'size'), ('float *', 'delta')]"
10194,11,adam_kernel,runs,"[('int', 'N'), ('float *', 'x'), ('float *', 'm'), ('float *', 'v'), ('float', 'B1'), ('float', 'B2'), ('float', 'rate'), ('float', 'eps'), ('int', 't')]"
10194,12,normalize_kernel,runs,"[('int', 'N'), ('float *', 'x'), ('float *', 'mean'), ('float *', 'variance'), ('int', 'batch'), ('int', 'filters'), ('int', 'spatial')]"
10194,13,normalize_delta_kernel,runs,"[('int', 'N'), ('float *', 'x'), ('float *', 'mean'), ('float *', 'variance'), ('float *', 'mean_delta'), ('float *', 'variance_delta'), ('int', 'batch'), ('int', 'filters'), ('int', 'spatial'), ('float *', 'delta')]"
10194,14,variance_delta_kernel,runs,"[('float *', 'x'), ('float *', 'delta'), ('float *', 'mean'), ('float *', 'variance'), ('int', 'batch'), ('int', 'filters'), ('int', 'spatial'), ('float *', 'variance_delta')]"
10194,15,accumulate_kernel,runs,"[('float *', 'x'), ('int', 'n'), ('int', 'groups'), ('float *', 'sum')]"
10194,16,fast_mean_delta_kernel,runs,"[('float *', 'delta'), ('float *', 'variance'), ('int', 'batch'), ('int', 'filters'), ('int', 'spatial'), ('float *', 'mean_delta')]"
10194,17,fast_variance_delta_kernel,runs,"[('float *', 'x'), ('float *', 'delta'), ('float *', 'mean'), ('float *', 'variance'), ('int', 'batch'), ('int', 'filters'), ('int', 'spatial'), ('float *', 'variance_delta')]"
10194,18,mean_delta_kernel,runs,"[('float *', 'delta'), ('float *', 'variance'), ('int', 'batch'), ('int', 'filters'), ('int', 'spatial'), ('float *', 'mean_delta')]"
10194,19,mean_kernel,runs,"[('float *', 'x'), ('int', 'batch'), ('int', 'filters'), ('int', 'spatial'), ('float *', 'mean')]"
10194,20,variance_kernel,runs,"[('float *', 'x'), ('float *', 'mean'), ('int', 'batch'), ('int', 'filters'), ('int', 'spatial'), ('float *', 'variance')]"
